3.443	31.2831
3.454	31.6425
3.465	32.0069
3.476	32.3714
3.487	32.7358
3.498	33.1003
3.509	33.4648
3.52	33.8292
3.531	34.1937
3.542	34.5581
3.553	34.9226
3.564	35.3199
3.575	35.7272
3.586	36.1345
3.597	36.5418
3.608	36.9491
3.619	37.3564
3.63	37.7637
3.641	38.1709
3.652	38.5782
3.663	38.9855
3.674	39.4247
3.685	39.8799
3.696	40.335
3.707	40.7902
3.718	41.2453
3.729	41.7005
3.74	42.1556
3.751	42.6108
3.762	43.0659
3.773	43.5211
3.784	44.0065
3.795	44.5151
3.806	45.0238
3.817	45.5324
3.828	46.0411
3.839	46.5497
3.85	47.0583
3.861	47.567
3.872	48.0756
3.883	48.5843
3.894	49.1207
3.905	49.6891
3.916	50.2575
3.927	50.8259
3.938	51.3943
3.949	51.9628
3.96	52.5312
3.971	53.0996
3.982	53.668
3.993	54.2364
4.004	54.8291
4.015	55.4644
4.026	56.0996
4.037	56.7348
4.048	57.37
4.059	58.0052
4.07	58.6404
4.081	59.2757
4.092	59.9109
4.103	60.5461
4.114	61.2009
4.125	61.9108
4.136	62.6206
4.147	63.3305
4.158	64.0404
4.169	64.7502
4.18	65.4601
4.191	66.17
4.202	66.8798
4.213	67.5897
4.224	68.313
4.235	69.1063
4.246	69.8996
4.257	70.6929
4.268	71.4862
4.279	72.2795
4.29	73.0728
4.301	73.8661
4.312	74.6594
4.323	75.4526
4.334	76.2516
4.345	77.1381
4.356	78.0246
4.367	78.9111
4.378	79.7976
4.389	80.6842
4.4	81.5707
4.411	82.4572
4.422	83.3437
4.433	84.2302
4.444	85.1167
4.455	86.1032
4.466	87.0939
4.477	88.0846
4.488	89.0753
4.499	90.066
4.51	91.0567
4.521	92.0474
4.532	93.0381
4.543	94.0288
4.554	95.0195
4.565	96.1102
4.576	97.2173
4.587	98.3244
4.598	99.4315
4.609	100.539
4.62	101.646
4.631	102.753
4.642	103.86
4.653	104.967
4.664	106.074
4.675	107.28
4.686	108.517
4.697	109.754
4.708	110.992
4.719	112.229
4.73	113.466
4.741	114.703
4.752	115.941
4.763	117.178
4.774	118.415
4.785	119.748
4.796	121.13
4.807	122.513
4.818	123.896
4.829	125.278
4.84	126.661
4.851	128.044
4.862	129.426
4.873	130.809
4.884	132.191
4.895	133.664
4.906	135.209
4.917	136.755
4.928	138.3
4.939	139.845
4.95	141.39
4.961	142.935
4.972	144.48
4.983	146.025
4.994	147.57
5.005	149.198
5.016	150.925
5.027	152.651
5.038	154.378
